post_id,platform,post_date,content_type,theme,reach,likes,comments,shares,saves,follows_gained,engagement_rate
P0300,Instagram,2025-02-06,Static Post,User Generated Content,18726,1199,116,193,144,51,0.0808
P0301,Instagram,2025-06-03,Reel,Product Launch,26447,905,51,92,173,53,0.0482
P0302,Instagram,2025-04-06,Reel,Promotional Offer,2805,75,3,13,12,3,0.0365
P0303,Instagram,2025-05-26,Story,Behind the Scenes,1933,63,3,8,10,4,0.0456
P0304,YouTube Shorts,2025-03-28,Short Video,Promotional Offer,2933,35,1,6,6,9,0.017
P0305,Instagram,2025-03-17,Static Post,Promotional Offer,1902,55,4,9,8,3,0.0365
P0306,YouTube Shorts,2025-05-18,Short Video,Product Launch,20202,822,67,113,173,79,0.0528
P0307,Instagram,2025-03-16,Static Post,Styling Tips,5509,187,12,31,29,23,0.042
P0308,YouTube Shorts,2025-04-30,Short Video,Promotional Offer,9780,105,5,9,25,11,0.0145
P0309,YouTube Shorts,2025-01-26,Short Video,Trend Based,10562,377,30,71,93,19,0.0502
P0310,TikTok,2025-02-15,Short Video,Product Launch,39214,3366,253,455,357,99,0.1056
P0311,Instagram,2025-03-05,Reel,Product Launch,14614,721,45,72,110,75,0.0699
P0312,TikTok,2025-05-20,Short Video,Product Launch,17132,1082,90,199,174,71,0.0813
P0313,TikTok,2025-01-06,Short Video,User Generated Content,30959,1554,148,198,275,33,0.0634
P0314,Instagram,2025-06-17,Carousel,Styling Tips,11673,470,33,79,119,14,0.0537
P0315,YouTube Shorts,2025-03-10,Short Video,Styling Tips,3796,169,16,17,37,10,0.062
P0316,YouTube Shorts,2025-03-07,Short Video,Trend Based,18233,557,34,71,89,51,0.0429
P0317,Instagram,2025-04-18,Reel,Styling Tips,2704,107,8,13,16,10,0.0503
P0318,Instagram,2025-05-09,Carousel,Behind the Scenes,11061,443,27,34,78,14,0.0536
P0319,Instagram,2025-02-03,Static Post,Styling Tips,11606,315,16,48,43,49,0.0381
P0320,Instagram,2025-01-01,Carousel,Behind the Scenes,1731,58,2,11,13,3,0.0453
P0321,YouTube Shorts,2025-03-16,Short Video,Styling Tips,10503,328,17,46,44,13,0.0373
P0322,Instagram,2025-06-05,Reel,Product Launch,6636,291,26,58,39,28,0.0611
P0323,TikTok,2025-03-12,Short Video,Product Launch,12498,436,36,37,114,40,0.0498
P0324,TikTok,2025-04-11,Short Video,Behind the Scenes,19940,341,23,28,72,23,0.0241
P0325,YouTube Shorts,2025-05-13,Short Video,Behind the Scenes,4755,105,5,15,16,16,0.0309
P0326,YouTube Shorts,2025-05-23,Short Video,Behind the Scenes,2779,54,4,5,15,6,0.0281
P0327,Instagram,2025-05-29,Static Post,Behind the Scenes,5575,217,20,23,30,3,0.0516
P0328,TikTok,2025-06-14,Short Video,Trend Based,6305,349,30,57,50,13,0.0706
P0329,Instagram,2025-05-04,Static Post,Behind the Scenes,3928,102,5,15,26,8,0.0342
P0330,TikTok,2025-02-10,Short Video,Promotional Offer,10599,79,7,12,12,24,0.0107
P0331,YouTube Shorts,2025-05-27,Short Video,Styling Tips,1169,53,3,6,12,3,0.064
P0332,Instagram,2025-04-11,Reel,Styling Tips,5114,133,5,13,32,7,0.0324
P0333,Instagram,2025-06-14,Static Post,Styling Tips,18197,959,66,138,155,61,0.0648
P0334,YouTube Shorts,2025-04-29,Short Video,Promotional Offer,2892,60,4,5,11,3,0.0268
P0335,YouTube Shorts,2025-02-28,Short Video,Trend Based,7893,441,37,76,113,25,0.0745
P0336,TikTok,2025-03-23,Short Video,User Generated Content,17364,352,18,26,88,54,0.0273
P0337,TikTok,2025-05-20,Short Video,Trend Based,24475,739,59,107,108,138,0.0368
P0338,Instagram,2025-01-14,Reel,Behind the Scenes,9469,189,10,19,28,5,0.0269
P0339,YouTube Shorts,2025-01-08,Short Video,User Generated Content,1042,75,2,12,11,1,0.0916
P0340,TikTok,2025-04-12,Short Video,Promotional Offer,43084,1414,109,136,179,66,0.0456
P0341,Instagram,2025-02-10,Reel,Product Launch,8555,239,9,20,49,8,0.0337
P0342,TikTok,2025-05-11,Short Video,Promotional Offer,33766,695,38,75,179,65,0.0281
P0343,TikTok,2025-03-15,Short Video,Styling Tips,12933,405,24,67,56,55,0.0398
P0344,Instagram,2025-01-22,Reel,Styling Tips,9206,211,9,26,23,6,0.028
P0345,TikTok,2025-03-06,Short Video,User Generated Content,6598,456,20,79,106,34,0.0814
P0346,TikTok,2025-04-02,Short Video,Product Launch,12983,864,68,109,171,10,0.084
P0347,Instagram,2025-04-11,Reel,User Generated Content,4574,147,14,12,19,28,0.0438
P0348,TikTok,2025-01-25,Short Video,Promotional Offer,4055,80,8,8,16,9,0.0259
P0349,Instagram,2025-04-20,Static Post,Promotional Offer,2544,96,5,11,9,1,0.045
P0350,Instagram,2025-05-20,Reel,Styling Tips,16426,737,65,83,163,46,0.0564
P0351,Instagram,2025-01-13,Reel,Promotional Offer,6186,105,6,8,20,7,0.0204
P0352,TikTok,2025-06-12,Short Video,Promotional Offer,15807,568,30,33,76,15,0.0427
P0353,TikTok,2025-04-17,Short Video,User Generated Content,44022,995,48,78,238,261,0.0301
P0354,TikTok,2025-06-10,Short Video,Promotional Offer,2770,94,3,9,16,2,0.0411
P0355,Instagram,2025-06-22,Static Post,Promotional Offer,8262,408,25,57,66,8,0.0632
P0356,Instagram,2025-05-30,Reel,User Generated Content,10134,488,51,66,81,35,0.0679
P0357,Instagram,2025-05-03,Carousel,Styling Tips,3690,92,7,15,20,12,0.0347
P0358,YouTube Shorts,2025-06-29,Short Video,Trend Based,9300,450,25,54,96,20,0.0594
P0359,Instagram,2025-01-20,Carousel,Behind the Scenes,27426,490,22,41,103,59,0.0251
P0360,Instagram,2025-06-17,Carousel,User Generated Content,1741,88,7,7,22,6,0.0643
P0361,Instagram,2025-06-13,Story,User Generated Content,5869,402,34,73,101,32,0.0879
P0362,Instagram,2025-03-13,Story,Styling Tips,5833,330,16,24,59,24,0.0675
P0363,Instagram,2025-01-14,Reel,User Generated Content,4454,224,19,25,52,3,0.06
P0364,TikTok,2025-03-21,Short Video,Promotional Offer,6454,174,12,30,20,11,0.0321
P0365,TikTok,2025-01-21,Short Video,Promotional Offer,7198,223,8,31,45,7,0.0388
P0366,Instagram,2025-04-14,Reel,Promotional Offer,11330,187,15,37,33,13,0.0232
P0367,Instagram,2025-03-08,Reel,User Generated Content,15233,1369,97,124,209,79,0.1167
P0368,YouTube Shorts,2025-05-22,Short Video,Styling Tips,6375,209,19,17,42,4,0.0396
P0369,Instagram,2025-06-18,Carousel,Trend Based,9490,927,34,163,99,54,0.1159
P0370,Instagram,2025-04-26,Reel,Behind the Scenes,3789,100,5,8,16,2,0.0318
P0371,YouTube Shorts,2025-02-05,Short Video,Styling Tips,5612,51,5,6,9,3,0.0126
P0372,Instagram,2025-03-16,Story,Styling Tips,7248,213,18,33,29,27,0.0357
P0373,TikTok,2025-01-15,Short Video,Behind the Scenes,3630,81,5,6,14,7,0.0309
P0374,TikTok,2025-01-27,Short Video,Behind the Scenes,6025,160,11,28,29,20,0.0339
P0375,Instagram,2025-05-29,Reel,Trend Based,11842,775,61,98,138,76,0.0873
P0376,YouTube Shorts,2025-01-23,Short Video,Styling Tips,1057,38,2,6,4,2,0.0432
P0377,TikTok,2025-05-02,Short Video,Behind the Scenes,24505,467,34,30,116,14,0.0239
P0378,YouTube Shorts,2025-05-12,Short Video,Trend Based,3750,61,3,11,13,15,0.023
P0379,TikTok,2025-01-14,Short Video,Styling Tips,6235,103,5,16,21,8,0.0196
P0380,Instagram,2025-02-02,Carousel,Trend Based,6856,477,36,83,110,41,0.0912
P0381,Instagram,2025-04-28,Static Post,Behind the Scenes,20586,446,18,64,98,73,0.0276
P0382,Instagram,2025-06-08,Static Post,Trend Based,6954,181,11,20,35,29,0.0338
P0383,Instagram,2025-04-13,Carousel,User Generated Content,17317,528,48,74,78,81,0.0405
P0384,TikTok,2025-05-13,Short Video,Promotional Offer,8103,355,24,52,68,9,0.0593
P0385,Instagram,2025-02-13,Carousel,Product Launch,7506,214,17,16,24,31,0.0397
P0386,Instagram,2025-06-11,Reel,User Generated Content,12673,858,76,101,184,74,0.0858
P0387,TikTok,2025-01-30,Short Video,User Generated Content,29134,1034,80,147,119,158,0.0464
P0388,Instagram,2025-04-04,Static Post,Behind the Scenes,3312,58,2,8,11,9,0.0214
P0389,YouTube Shorts,2025-04-11,Short Video,User Generated Content,15831,1189,101,74,240,31,0.0902
P0390,Instagram,2025-01-11,Carousel,Trend Based,8222,199,7,24,38,52,0.029
P0391,TikTok,2025-06-18,Short Video,Promotional Offer,19971,346,33,38,41,45,0.0216
P0392,TikTok,2025-02-07,Short Video,Styling Tips,1610,53,4,4,8,2,0.042
P0393,Instagram,2025-03-08,Static Post,Product Launch,12724,537,57,64,89,12,0.0581
P0394,TikTok,2025-02-14,Short Video,User Generated Content,39597,1355,132,246,312,64,0.0459
P0395,TikTok,2025-05-03,Short Video,Trend Based,21368,174,8,18,39,127,0.0105
P0396,Instagram,2025-05-03,Story,Promotional Offer,3870,121,11,16,13,8,0.0383
P0397,TikTok,2025-01-31,Short Video,User Generated Content,21155,987,58,79,215,81,0.0564
P0398,Instagram,2025-02-25,Static Post,Product Launch,8539,324,27,59,40,18,0.0493
P0399,Instagram,2025-06-09,Carousel,Trend Based,18263,952,52,89,231,47,0.0656
P0400,TikTok,2025-01-26,Short Video,Promotional Offer,11522,305,19,34,57,18,0.0351
P0401,YouTube Shorts,2025-03-16,Short Video,Promotional Offer,4123,71,6,9,12,6,0.0227
P0402,YouTube Shorts,2025-05-28,Short Video,Promotional Offer,214,2,0,0,0,0,0.0156
P0403,YouTube Shorts,2025-02-16,Short Video,Promotional Offer,259,8,0,0,1,0,0.0434
P0404,Instagram,2025-01-22,Static Post,Promotional Offer,657,17,0,2,2,0,0.0339
P0405,TikTok,2025-02-12,Short Video,Styling Tips,15618,623,51,48,112,53,0.0538
P0406,TikTok,2025-04-02,Short Video,Promotional Offer,4923,114,7,20,23,5,0.0275
P0407,TikTok,2025-03-13,Short Video,Trend Based,56870,3311,184,581,378,54,0.0703
P0408,YouTube Shorts,2025-01-01,Short Video,User Generated Content,1380,40,2,6,6,4,0.0412
P0409,Instagram,2025-05-26,Story,Styling Tips,3809,175,15,34,27,11,0.0615
P0410,YouTube Shorts,2025-05-10,Short Video,Trend Based,9409,468,21,54,79,19,0.0614
P0411,Instagram,2025-01-03,Static Post,User Generated Content,3161,150,14,28,33,10,0.0613
P0412,TikTok,2025-01-31,Short Video,Behind the Scenes,13502,583,44,47,104,9,0.0533
P0413,Instagram,2025-02-07,Carousel,Behind the Scenes,6076,194,17,27,48,12,0.0445
P0414,TikTok,2025-03-28,Short Video,Trend Based,29566,2276,167,369,531,147,0.1003
P0415,YouTube Shorts,2025-03-02,Short Video,Product Launch,17505,291,24,53,50,23,0.0231
P0416,Instagram,2025-04-12,Reel,Behind the Scenes,14464,517,41,44,86,28,0.0439
P0417,Instagram,2025-03-03,Carousel,Promotional Offer,23814,482,25,54,54,19,0.0256
P0418,Instagram,2025-06-02,Reel,Promotional Offer,4732,137,6,19,27,11,0.0386
P0419,Instagram,2025-04-10,Carousel,Promotional Offer,3256,66,3,6,13,4,0.0244
P0420,YouTube Shorts,2025-04-15,Short Video,Styling Tips,3867,116,6,20,13,9,0.0389
